ПП Віжес;32808995;308164_1;KH:V96;14;RN;07.10.2021;;10;
27605;1;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;16,79;20,14;3,35;4810223022453
27606;1;20,148;Йогурт "Греческий" малина-гранат 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;16,79;20,15;3,36;4810223024099
27607;1;20,148;Йогурт "Греческий" печеное яблоко 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;16,79;20,15;3,36;4810223022460
27610;2;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;58,5;70,2;11,7;4810223023849
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27614;1;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223024235
27627;20;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;182;218,4;36,4;4810223024426
27629;15;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;136,5;163,8;27,3;4810223024419
28385;12;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;252,24;302,69;50,45;4823005208259
28386;3;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;69,93;83,91;13,98;4823005208266
28394;3;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;67,71;81,26;13,55;4823005208716
28395;3;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;75,15;90,18;15,03;4823005208242
24195;4;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;51,2;61,44;10,24;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
