ПП Віжес;32808995;309854_1;KH:V278;14;RN;07.10.2021;;10;
24845;2;35,7;Сыр тв. "Каневский" 50% фас. 160г ТМ "Канев";1;шт;29,75;59,5;71,4;11,9;4820149824390
6524;3;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;41,7;50,04;8,34;4820023261600
7406;2;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262300
7407;2;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262317
23252;4;14,04;Сыр плав. паст. "С зеленью" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263734
15165;4;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263321
15225;4;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263314
23122;2;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023263703
23123;2;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023263697
15299;2;39,36; Слайс Тенеро 50% 150г лоток ТМ "КОМО";1;шт;32,8;65,6;78,72;13,12;4820039804037
13616;2;32,16;Сыр плавл. нар. Ветчина 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;53,6;64,32;10,72;4820039803566
10560;2;32,16;Сыр плавл. нар. Грибы 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;53,6;64,32;10,72;4820039803573
25310;5;6,348;ПСП пастообр. "Сливочный" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264694
25311;5;6,348;ПСП пастообр. "Голландский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264717
25312;5;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264724
24747;2;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023264014
24748;2;42,96;Брусок "Парменталь" 40% 160г ТМ "Пирятин";1;шт;35,8;71,6;85,92;14,32;4820023264021
24746;2;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;66,24;79,49;13,25;4820023264038
24199;5;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264700
24335;2;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;76,2;91,44;15,24;4820023264083
